defect_type,support,tp,fp,fn,precision,recall,f1,strategy,eval_mode,category
scratch,21,20,16,1,0.5555555555555556,0.9523809523809523,0.7017543859649122,visual_ensemble,crop_or_full,wood
bent,7,0,1,7,0.0,0.0,0.0,visual_ensemble,crop_only,grid
broken,3,0,1,3,0.0,0.0,0.0,visual_ensemble,crop_only,grid
glue,5,0,1,5,0.0,0.0,0.0,visual_ensemble,crop_only,grid
metal_contamination,8,0,0,8,0.0,0.0,0.0,visual_ensemble,crop_only,grid
thread,5,4,21,1,0.16,0.8,0.26666666666666666,visual_ensemble,crop_only,grid
color,11,8,7,3,0.5333333333333333,0.7272727272727273,0.6153846153846154,visual_ensemble,crop_only,leather
cut,11,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,visual_ensemble,crop_only,leather
fold,6,5,19,1,0.20833333333333334,0.8333333333333334,0.3333333333333333,visual_ensemble,crop_only,leather
glue,8,0,0,8,0.0,0.0,0.0,visual_ensemble,crop_only,leather
poke,10,0,0,10,0.0,0.0,0.0,visual_ensemble,crop_only,leather
manipulated_front,10,0,1,10,0.0,0.0,0.0,visual_ensemble,crop_only,screw
scratch_head,11,10,40,1,0.2,0.9090909090909091,0.32786885245901637,visual_ensemble,crop_only,screw
scratch_neck,14,0,1,14,0.0,0.0,0.0,visual_ensemble,crop_only,screw
thread_side,12,0,3,12,0.0,0.0,0.0,visual_ensemble,crop_only,screw
thread_top,13,2,3,11,0.4,0.15384615384615385,0.2222222222222222,visual_ensemble,crop_only,screw
color,1,0,1,1,0.0,0.0,0.0,visual_ensemble,crop_only,wood
combined,3,0,0,3,0.0,0.0,0.0,visual_ensemble,crop_only,wood
hole,5,4,6,1,0.4,0.8,0.5333333333333333,visual_ensemble,crop_only,wood
liquid,7,2,1,5,0.6666666666666666,0.2857142857142857,0.4,visual_ensemble,crop_only,wood
scratch,14,13,3,1,0.8125,0.9285714285714286,0.8666666666666667,visual_ensemble,crop_only,wood
bent,12,0,1,12,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,grid
broken,12,0,1,12,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,grid
glue,11,0,1,11,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,grid
thread,11,10,44,1,0.18518518518518517,0.9090909090909091,0.3076923076923077,visual_ensemble,crop_topk_ensemble,grid
color,19,13,12,6,0.52,0.6842105263157895,0.5909090909090909,visual_ensemble,crop_topk_ensemble,leather
cut,19,8,14,11,0.36363636363636365,0.42105263157894735,0.3902439024390244,visual_ensemble,crop_topk_ensemble,leather
fold,17,16,29,1,0.35555555555555557,0.9411764705882353,0.5161290322580645,visual_ensemble,crop_topk_ensemble,leather
glue,19,0,0,19,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,leather
poke,18,0,0,18,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,leather
manipulated_front,24,0,1,24,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,screw
scratch_head,24,19,82,5,0.18811881188118812,0.7916666666666666,0.304,visual_ensemble,crop_topk_ensemble,screw
scratch_neck,25,1,10,24,0.09090909090909091,0.04,0.05555555555555555,visual_ensemble,crop_topk_ensemble,screw
thread_side,23,0,2,23,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,screw
thread_top,23,2,2,21,0.5,0.08695652173913043,0.14814814814814814,visual_ensemble,crop_topk_ensemble,screw
color,8,1,0,7,1.0,0.125,0.2222222222222222,visual_ensemble,crop_topk_ensemble,wood
combined,11,0,0,11,0.0,0.0,0.0,visual_ensemble,crop_topk_ensemble,wood
hole,10,5,9,5,0.35714285714285715,0.5,0.4166666666666667,visual_ensemble,crop_topk_ensemble,wood
liquid,10,2,7,8,0.2222222222222222,0.2,0.21052631578947367,visual_ensemble,crop_topk_ensemble,wood
scratch,21,19,17,2,0.5277777777777778,0.9047619047619048,0.6666666666666666,visual_ensemble,crop_topk_ensemble,wood
bent,7,0,1,7,0.0,0.0,0.0,visual_ensemble,crop_topk_only,grid
broken,3,0,1,3,0.0,0.0,0.0,visual_ensemble,crop_topk_only,grid
glue,5,0,1,5,0.0,0.0,0.0,visual_ensemble,crop_topk_only,grid
metal_contamination,8,0,0,8,0.0,0.0,0.0,visual_ensemble,crop_topk_only,grid
thread,5,4,21,1,0.16,0.8,0.26666666666666666,visual_ensemble,crop_topk_only,grid
color,11,8,7,3,0.5333333333333333,0.7272727272727273,0.6153846153846154,visual_ensemble,crop_topk_only,leather
cut,11,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,visual_ensemble,crop_topk_only,leather
fold,6,5,19,1,0.20833333333333334,0.8333333333333334,0.3333333333333333,visual_ensemble,crop_topk_only,leather
glue,8,0,0,8,0.0,0.0,0.0,visual_ensemble,crop_topk_only,leather
poke,10,0,0,10,0.0,0.0,0.0,visual_ensemble,crop_topk_only,leather
manipulated_front,10,0,1,10,0.0,0.0,0.0,visual_ensemble,crop_topk_only,screw
scratch_head,11,10,42,1,0.19230769230769232,0.9090909090909091,0.31746031746031744,visual_ensemble,crop_topk_only,screw
scratch_neck,14,0,1,14,0.0,0.0,0.0,visual_ensemble,crop_topk_only,screw
thread_side,12,0,2,12,0.0,0.0,0.0,visual_ensemble,crop_topk_only,screw
thread_top,13,2,2,11,0.5,0.15384615384615385,0.23529411764705882,visual_ensemble,crop_topk_only,screw
color,1,0,0,1,0.0,0.0,0.0,visual_ensemble,crop_topk_only,wood
combined,3,0,0,3,0.0,0.0,0.0,visual_ensemble,crop_topk_only,wood
hole,5,4,7,1,0.36363636363636365,0.8,0.5,visual_ensemble,crop_topk_only,wood
liquid,7,2,1,5,0.6666666666666666,0.2857142857142857,0.4,visual_ensemble,crop_topk_only,wood
scratch,14,12,4,2,0.75,0.8571428571428571,0.8,visual_ensemble,crop_topk_only,wood
