dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
AD2,rice,high_response,image_gradient,8,8,0.21097102761268616,0.10991723090410233,0.45040804147720337,0.0,0.0
AD2,rice,uniform,response,8,8,-6.106420040130615,-8.5137357711792,-2.9246273040771484,0.0,0.0
AD2,rice,uniform,center_surround,8,8,-0.012380312196910381,-1.4298940896987915,1.3352677822113037,0.0001220703125,0.0
AD2,rice,uniform,surround,8,8,-6.100245475769043,-7.3278703689575195,-3.959134817123413,0.0,0.0
AD2,rice,uniform,response_std,8,8,0.7389922142028809,0.4120463728904724,1.8158742189407349,0.0,0.0
AD2,rice,uniform,intensity_mean,8,8,0.610832691192627,0.49460989236831665,0.6827483177185059,0.0,0.0
AD2,rice,uniform,intensity_std,8,8,0.07397712767124176,0.05136345699429512,0.10250209271907806,0.0,0.0
AD2,rice,uniform,image_gradient,8,8,0.21724937856197357,0.09722060710191727,0.46166181564331055,0.0,0.0
AD2,sheet_metal,high_response,response,8,8,-0.5807807445526123,-1.7145628929138184,1.2636741399765015,0.0,0.0
AD2,sheet_metal,high_response,center_surround,8,8,1.3657817840576172,1.0141669511795044,1.967474341392517,0.0,0.0
AD2,sheet_metal,high_response,surround,8,8,-2.07273006439209,-3.2667288780212402,-0.3982830345630646,0.0,0.0
AD2,sheet_metal,high_response,response_std,8,8,1.1958599090576172,0.9758537411689758,1.5679901838302612,0.0,0.0
AD2,sheet_metal,high_response,intensity_mean,8,8,0.23421737551689148,0.16112053394317627,0.3542650640010834,0.0,0.0
AD2,sheet_metal,high_response,intensity_std,8,8,0.17846688628196716,0.08072888851165771,0.21426059305667877,0.0,0.0
AD2,sheet_metal,high_response,image_gradient,8,8,0.4748365879058838,0.2286999523639679,1.233328104019165,0.125,0.0
AD2,sheet_metal,uniform,response,8,8,-4.359241485595703,-8.534605026245117,-1.6640783548355103,0.0001220703125,0.0
AD2,sheet_metal,uniform,center_surround,8,8,0.03014957159757614,-1.3907005786895752,1.0081888437271118,0.0003662109375,0.0
AD2,sheet_metal,uniform,surround,8,8,-4.41168212890625,-7.378546714782715,-2.439652681350708,0.0,0.0
AD2,sheet_metal,uniform,response_std,8,8,0.6472389698028564,0.28661301732063293,1.978013277053833,0.0,0.0
AD2,sheet_metal,uniform,intensity_mean,8,8,0.19026872515678406,0.12351861596107483,0.3735108971595764,0.0,0.0
AD2,sheet_metal,uniform,intensity_std,8,8,0.1133565902709961,0.04391874745488167,0.21373222768306732,0.0,0.0
AD2,sheet_metal,uniform,image_gradient,8,8,0.35997483134269714,0.11355358362197876,1.0437277555465698,0.0382080078125,0.000244140625
AD2,vial,high_response,response,8,8,-0.4929172396659851,-2.777087926864624,1.533897876739502,0.0,0.0
AD2,vial,high_response,center_surround,8,8,1.84344482421875,0.8645688891410828,2.5955913066864014,0.0,0.0
AD2,vial,high_response,surround,8,8,-2.8434128761291504,-4.781670570373535,-1.301661491394043,0.0,0.0
AD2,vial,high_response,response_std,8,8,1.5766377449035645,0.6925088167190552,2.374715566635132,0.0,0.0
AD2,vial,high_response,intensity_mean,8,8,0.604833722114563,0.44176220893859863,0.6955625414848328,0.0,0.0
AD2,vial,high_response,intensity_std,8,8,0.2221013307571411,0.1388755589723587,0.2979939877986908,0.0,0.0
AD2,vial,high_response,image_gradient,8,8,0.6291463375091553,0.14205996692180634,1.0294744968414307,0.05078125,0.0
AD2,vial,uniform,response,8,8,-8.817791938781738,-15.708162307739258,-2.652956247329712,0.05126953125,0.0
AD2,vial,uniform,center_surround,8,8,0.06184828653931618,-2.0366485118865967,1.5655615329742432,0.0008544921875,0.0
AD2,vial,uniform,surround,8,8,-9.020943641662598,-13.899343490600586,-3.2389919757843018,0.1025390625,0.0
AD2,vial,uniform,response_std,8,8,1.2052586078643799,0.5150163769721985,2.4579520225524902,0.0,0.0
AD2,vial,uniform,intensity_mean,8,8,0.9313960671424866,0.15000368654727936,1.0,0.0,0.0
AD2,vial,uniform,intensity_std,8,8,0.06955215334892273,0.0,0.4627643823623657,0.078125,0.0
AD2,vial,uniform,image_gradient,8,8,0.013995319604873657,0.0,0.8741030693054199,0.009521484375,0.0
AD2,wallplugs,high_response,response,8,8,-0.4886113405227661,-1.724570631980896,0.9087806344032288,0.0,0.0
AD2,wallplugs,high_response,center_surround,8,8,1.366015911102295,1.0290621519088745,1.8292969465255737,0.0,0.0
AD2,wallplugs,high_response,surround,8,8,-2.0887861251831055,-3.3317036628723145,-0.9229924082756042,0.0,0.0
AD2,wallplugs,high_response,response_std,8,8,1.1006927490234375,0.8503009676933289,1.6186014413833618,0.0,0.0
AD2,wallplugs,high_response,intensity_mean,8,8,0.29615095257759094,0.126005619764328,0.42976149916648865,0.0,0.0
