method,category,condition,size_band,regions,aupro_0_05
q99_geomean,walnuts,shift_2,large_gt_1pct,10,0.7767141302933885
q99_geomean,walnuts,shift_2,small_0.1_to_1pct,14,0.7995307742973382
q99_geomean,walnuts,shift_2,tiny_le_0.1pct,20,0.6978820466469073
q99_geomean,walnuts,shift_3,all,44,0.6088285125636936
q99_geomean,walnuts,shift_3,large_gt_1pct,10,0.7000685684562189
q99_geomean,walnuts,shift_3,small_0.1_to_1pct,14,0.6484878162029526
q99_geomean,walnuts,shift_3,tiny_le_0.1pct,20,0.5354469720699503
q99_geomean,walnuts,underexposed,all,44,0.7431139626145833
q99_geomean,walnuts,underexposed,large_gt_1pct,10,0.7856388617079153
q99_geomean,walnuts,underexposed,small_0.1_to_1pct,14,0.7990105519810754
q99_geomean,walnuts,underexposed,tiny_le_0.1pct,20,0.6827239005113789
q99_harmonic,can,overexposed,all,16,0.1484196147714874
q99_harmonic,can,overexposed,large_gt_1pct,0,nan
q99_harmonic,can,overexposed,small_0.1_to_1pct,0,nan
q99_harmonic,can,overexposed,tiny_le_0.1pct,16,0.1484196147714874
q99_harmonic,can,regular,all,16,0.1485990847572899
q99_harmonic,can,regular,large_gt_1pct,0,nan
q99_harmonic,can,regular,small_0.1_to_1pct,0,nan
q99_harmonic,can,regular,tiny_le_0.1pct,16,0.1485990847572899
q99_harmonic,can,shift_1,all,16,0.16604161840607493
q99_harmonic,can,shift_1,large_gt_1pct,0,nan
q99_harmonic,can,shift_1,small_0.1_to_1pct,0,nan
q99_harmonic,can,shift_1,tiny_le_0.1pct,16,0.16604161840607493
q99_harmonic,can,shift_2,all,16,0.11018405475676463
q99_harmonic,can,shift_2,large_gt_1pct,0,nan
q99_harmonic,can,shift_2,small_0.1_to_1pct,0,nan
q99_harmonic,can,shift_2,tiny_le_0.1pct,16,0.11018405475676463
q99_harmonic,can,shift_3,all,16,0.12045128571460868
q99_harmonic,can,shift_3,large_gt_1pct,0,nan
q99_harmonic,can,shift_3,small_0.1_to_1pct,0,nan
q99_harmonic,can,shift_3,tiny_le_0.1pct,16,0.12045128571460868
q99_harmonic,can,underexposed,all,16,0.1445159637769063
q99_harmonic,can,underexposed,large_gt_1pct,0,nan
q99_harmonic,can,underexposed,small_0.1_to_1pct,0,nan
q99_harmonic,can,underexposed,tiny_le_0.1pct,16,0.1445159637769063
q99_harmonic,fabric,overexposed,all,32,0.397991359417572
q99_harmonic,fabric,overexposed,large_gt_1pct,1,0.4686213286643802
q99_harmonic,fabric,overexposed,small_0.1_to_1pct,1,0.9980358598966003
q99_harmonic,fabric,overexposed,tiny_le_0.1pct,30,0.37563554376005454
q99_harmonic,fabric,regular,all,32,0.394296028171305
q99_harmonic,fabric,regular,large_gt_1pct,1,0.4689809833491382
q99_harmonic,fabric,regular,small_0.1_to_1pct,1,0.9979704048003071
q99_harmonic,fabric,regular,tiny_le_0.1pct,30,0.37168405044442065
q99_harmonic,fabric,shift_1,all,32,0.419431361009253
q99_harmonic,fabric,shift_1,large_gt_1pct,1,0.46909331033089013
q99_harmonic,fabric,shift_1,small_0.1_to_1pct,1,0.9991869006227999
q99_harmonic,fabric,shift_1,tiny_le_0.1pct,30,0.39845077804475226
q99_harmonic,fabric,shift_2,all,32,0.5105123456042151
q99_harmonic,fabric,shift_2,large_gt_1pct,1,0.4521555275802089
q99_harmonic,fabric,shift_2,small_0.1_to_1pct,1,0.9986021332964912
q99_harmonic,fabric,shift_2,tiny_le_0.1pct,30,0.496187913281947
q99_harmonic,fabric,shift_3,all,32,0.5162781574814408
q99_harmonic,fabric,shift_3,large_gt_1pct,1,0.46419927170657965
q99_harmonic,fabric,shift_3,small_0.1_to_1pct,1,0.9988978771841424
q99_harmonic,fabric,shift_3,tiny_le_0.1pct,30,0.5019267963505107
