category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
chewinggum,349a6a13625d07784818747e,top8,1.0,1.0,1.0,1.0
chewinggum,3a714fadba9884c8fdd58c13,grid8,1.0,1.0,1.0,1.0
chewinggum,3a714fadba9884c8fdd58c13,mixed8,1.0,1.0,1.0,1.0
chewinggum,3a714fadba9884c8fdd58c13,top8,1.0,1.0,1.0,1.0
chewinggum,3de82da3ee7f68761919ff55,grid8,1.0,1.0,1.0,1.0
chewinggum,3de82da3ee7f68761919ff55,mixed8,1.0,1.0,1.0,1.0
chewinggum,3de82da3ee7f68761919ff55,top8,1.0,1.0,1.0,1.0
chewinggum,546ff008627482c4c8df8e5e,grid8,0.7370855821125675,0.7370855821125675,1.0,0.0
chewinggum,546ff008627482c4c8df8e5e,mixed8,1.0,1.0,1.0,1.0
chewinggum,546ff008627482c4c8df8e5e,top8,1.0,1.0,1.0,1.0
chewinggum,5adeb3e51cd2592ede1e6f48,grid8,0.0,0.0,0.0,0.0
chewinggum,5adeb3e51cd2592ede1e6f48,mixed8,0.0,0.0,0.0,0.0
chewinggum,5adeb3e51cd2592ede1e6f48,top8,1.0,1.0,1.0,1.0
chewinggum,6b489d8ce783a4e5cfab852e,grid8,0.0,0.0,0.0,0.0
chewinggum,6b489d8ce783a4e5cfab852e,mixed8,1.0,1.0,1.0,1.0
chewinggum,6b489d8ce783a4e5cfab852e,top8,1.0,1.0,1.0,1.0
chewinggum,6eb4bac5e25cf94ca96e504a,grid8,0.0,0.0,0.0,0.0
chewinggum,6eb4bac5e25cf94ca96e504a,mixed8,0.0,0.0,0.0,0.0
chewinggum,6eb4bac5e25cf94ca96e504a,top8,1.0,1.0,1.0,1.0
chewinggum,714ddb5f39389254f52215cb,grid8,0.06317204301075269,0.06317204301075269,0.0,0.0
chewinggum,714ddb5f39389254f52215cb,mixed8,0.5631720430107527,0.5631720430107527,0.5,0.5
chewinggum,714ddb5f39389254f52215cb,top8,0.5,0.5,0.5,0.5
chewinggum,75cfb13a0d50b224590bae09,grid8,0.5,0.5,0.5,0.5
chewinggum,75cfb13a0d50b224590bae09,mixed8,1.0,1.0,1.0,1.0
chewinggum,75cfb13a0d50b224590bae09,top8,1.0,1.0,1.0,1.0
chewinggum,7d09d6313d3bb04b55659b4b,grid8,0.0,0.0,0.0,0.0
chewinggum,7d09d6313d3bb04b55659b4b,mixed8,1.0,1.0,1.0,1.0
chewinggum,7d09d6313d3bb04b55659b4b,top8,1.0,1.0,1.0,1.0
chewinggum,83ea52edfb4329b3c3776f42,grid8,0.0,0.0,0.0,0.0
chewinggum,83ea52edfb4329b3c3776f42,mixed8,1.0,1.0,1.0,1.0
chewinggum,83ea52edfb4329b3c3776f42,top8,1.0,1.0,1.0,1.0
chewinggum,a6c99a156fd2b092f486ab36,grid8,0.0,0.0,0.0,0.0
chewinggum,a6c99a156fd2b092f486ab36,mixed8,1.0,1.0,1.0,1.0
chewinggum,a6c99a156fd2b092f486ab36,top8,1.0,1.0,1.0,1.0
chewinggum,a9cad478be6c540796456358,grid8,0.026881720430107527,0.026881720430107527,0.0,0.0
chewinggum,a9cad478be6c540796456358,mixed8,0.026881720430107527,0.026881720430107527,0.0,0.0
chewinggum,a9cad478be6c540796456358,top8,1.0,1.0,1.0,1.0
chewinggum,b05d167600b68cfe85542e05,grid8,0.6848484848484848,1.0,1.0,0.0
chewinggum,b05d167600b68cfe85542e05,mixed8,1.0,1.0,1.0,1.0
chewinggum,b05d167600b68cfe85542e05,top8,1.0,1.0,1.0,1.0
chewinggum,b91c2b36915f8ed62dfefe3b,grid8,0.0,0.0,0.0,0.0
chewinggum,b91c2b36915f8ed62dfefe3b,mixed8,1.0,1.0,1.0,1.0
chewinggum,b91c2b36915f8ed62dfefe3b,top8,1.0,1.0,1.0,1.0
chewinggum,bbb87f02316bdcdb3ec20877,grid8,0.6982456140350877,1.0,1.0,0.0
chewinggum,bbb87f02316bdcdb3ec20877,mixed8,1.0,1.0,1.0,1.0
chewinggum,bbb87f02316bdcdb3ec20877,top8,1.0,1.0,1.0,1.0
chewinggum,c1c358dc514e6c44ee209df1,grid8,0.0,0.0,0.0,0.0
chewinggum,c1c358dc514e6c44ee209df1,mixed8,1.0,1.0,1.0,1.0
chewinggum,c1c358dc514e6c44ee209df1,top8,1.0,1.0,1.0,1.0
chewinggum,c518af4299fef196c70923cb,grid8,0.0,0.0,0.0,0.0
chewinggum,c518af4299fef196c70923cb,mixed8,0.0,0.0,0.0,0.0
chewinggum,c518af4299fef196c70923cb,top8,1.0,1.0,1.0,1.0
chewinggum,c5b93025a1692c44cd687858,grid8,0.6637931034482758,0.7349137931034483,0.75,0.5
chewinggum,c5b93025a1692c44cd687858,mixed8,1.0,1.0,1.0,1.0
chewinggum,c5b93025a1692c44cd687858,top8,1.0,1.0,1.0,1.0
chewinggum,c874b101e22e7a655bb3d46c,grid8,0.878927203065134,1.0,1.0,0.5
chewinggum,c874b101e22e7a655bb3d46c,mixed8,0.5,0.5,0.5,0.5
chewinggum,c874b101e22e7a655bb3d46c,top8,0.5,0.5,0.5,0.5
chewinggum,db132f55d3695ef283792e72,grid8,0.0,0.0,0.0,0.0
chewinggum,db132f55d3695ef283792e72,mixed8,0.0,0.0,0.0,0.0
chewinggum,db132f55d3695ef283792e72,top8,1.0,1.0,1.0,1.0
