backbone,strategy,eval_mode,debiased_method,num_images,num_normal,num_anomaly,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,full_all,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.7287586625086625,0.7776586012720239,0.7409470752089137,0.6558741905642923,0.35013276229680373,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.13969767844767844,0.14576097201576554,0.027086278064356817,0.1008325624421832
FastFlow,inspection_binary,full_all,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.725,0.8672569857596354,0.8405797101449275,0.84736355226642,0.5000981140807861,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.13593901593901592,0.23535935650337703,0.12671891300037064,0.2923219241443109
FastFlow,inspection_binary,full_all,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.7144317394317394,0.7600120075269696,0.7403426268055089,0.6424606845513413,0.2793511775087319,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.12537075537075537,0.12811437827071126,0.026481829660952028,0.0874190564292322
FastFlow,inspection_binary,full_all,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.6495348232848233,0.706672918054605,0.7151051625239006,0.5864939870490287,0.27200166082684124,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.0604738392238392,0.0747752887983466,0.0012443653793436926,0.031452358926919555
FastFlow,inspection_binary,full_all,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.6224445599445599,0.6843643505920577,0.7138607971445569,0.5550416281221091,0.0,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.03338357588357588,0.05246672133579933,0.0,0.0
FastFlow,inspection_binary,full_all,vlm_only,2162,962,1200,0.5550416281221091,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.0,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.0,0.0,0.0,0.0
PatchCore,category_binary,crop_or_full,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.21299852737352742,0.2128551834752499,0.22065109560722462,0.25300647548566146
PatchCore,category_binary,crop_or_full,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.9198613998613998,0.9345421103438809,0.8797770700636943,0.8603145235892692,0.3241718621321676,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.13785992723492724,0.14975578066329898,0.10545329129905967,0.11887141535615176
PatchCore,category_binary,crop_or_full,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.2342765639717073,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.131108367983368,0.14113879862971723,0.08625314431228848,0.09759481961147087
PatchCore,category_binary,crop_or_full,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.8833922383922383,0.9037449178339131,0.851063829787234,0.8316373728029602,0.35124278825439464,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.10139076576576578,0.11895858815333116,0.0767400510225994,0.09019426456984281
PatchCore,category_binary,crop_or_full,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.8622964310464311,0.8837507182605354,0.8318018377946464,0.8052728954671601,0.3640699911435066,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.08029495841995848,0.09896438857995349,0.0574780590300118,0.06382978723404265
PatchCore,category_binary,crop_or_full,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.8228447678447679,0.8482316870875982,0.8008048289738431,0.77104532839963,0.38574222626109034,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.04084329521829533,0.06344535740701629,0.026481050209208434,0.029602220166512594
PatchCore,category_binary,crop_or_full,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.8156505544005545,0.8436927332227742,0.7940346634421604,0.7636447733580018,0.3719754266642009,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.03364908177408188,0.05890640354219223,0.019710884677525797,0.022201665124884418
