backbone,strategy,eval_mode,fusion_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,capsules,160,60,100,True,0.625,0.995,1.0,0.9949748743718593,0.99375,0.0810847236964087,1.0,1.0,1.0,1.0,-0.0050000000000000044,0.0,-0.005025125628140725,-0.006249999999999978
FastFlow,inspection_binary,crop_or_full,detector_only,capsules,160,60,100,True,0.625,0.7574166666666666,0.8703558616056573,0.7747035573122529,0.64375,0.1002806539074088,1.0,1.0,1.0,1.0,-0.24258333333333337,-0.12964413839434275,-0.22529644268774707,-0.35624999999999996
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3905424140816326,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725,0.00666666666666671
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.2466591443822375,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725,0.00666666666666671
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3337245137991471,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725,0.00666666666666671
FastFlow,inspection_binary,crop_or_full,vlm_only,cashew,150,50,100,True,0.6666666666666666,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.2643005906028793,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,cashew,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.2404036964837383,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.0008000000000000229,0.001735537190082681,0.0,0.0
FastFlow,inspection_binary,crop_or_full,detector_only,cashew,150,50,100,True,0.6666666666666666,0.8922,0.9483757652879192,0.8815165876777251,0.8333333333333334,0.2830768575984286,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.10360000000000003,-0.04988869752199809,-0.11345828669413416,-0.15999999999999992
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.4299976097965637,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009,0.013333333333333308
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3482496916333686,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009,0.013333333333333308
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3996733921404159,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009,0.013333333333333308
FastFlow,inspection_binary,crop_or_full,vlm_only,chewinggum,150,50,100,True,0.6666666666666666,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.3779887666384555,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,chewinggum,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.0456892863517778,0.9966,0.9982977252446122,0.99,0.9866666666666667,-0.0016000000000000458,0.001702274755387756,0.004974874371859284,0.006666666666666599
FastFlow,inspection_binary,crop_or_full,detector_only,chewinggum,150,50,100,True,0.6666666666666666,0.9898,0.9960090763761806,0.9847715736040609,0.98,0.413938724007642,0.9966,0.9982977252446122,0.99,0.9866666666666667,-0.006800000000000028,-0.0022886488684316086,-0.005228426395939123,-0.00666666666666671
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,fryum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3284321789052597,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.009800000000000031,0.004052040816326485,0.020000000000000018,0.026666666666666616
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,fryum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.2830407965099635,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.009800000000000031,0.004052040816326485,0.020000000000000018,0.026666666666666616
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,fryum,150,50,100,True,0.6666666666666666,0.9992,0.9996153846153847,0.9949748743718593,0.9933333333333333,0.2427760039788756,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.009000000000000008,0.0036674254317111687,0.014974874371859292,0.019999999999999907
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,fryum,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.0808090049078265,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.0048000000000000265,0.004052040816326485,0.014974874371859292,0.019999999999999907
