backbone,strategy,eval_mode,fusion_method,num_images,num_normal,num_anomaly,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
PatchCore,category_binary,crop_topk_ensemble,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.8934927234927235,0.9041617176069762,0.8614506927465363,0.8427382053654024,0.4108158224690248,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.09435637560637555,0.10538027527251093,0.07041199620885807,0.08001850138760414
PatchCore,category_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.4245073172471296,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.0,0.0,0.0,0.0
PatchCore,category_binary,full_all,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.468856981981982,0.41851808712007066,0.2811140772273024,0.4394079555966698
PatchCore,category_binary,full_all,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.3869668225918226,0.346801702274538,0.14671612593236627,0.2839962997224792
PatchCore,category_binary,full_all,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.795911295911296,0.8364344348676257,0.768771012327232,0.713691026827012,0.3122653747302496,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.26976827789327795,0.25731100883186453,0.05491021518267514,0.1586493987049029
PatchCore,category_binary,full_all,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.7260412335412335,0.7676714074749904,0.7425774877650897,0.6350601295097132,0.26955688709025605,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.19989821552321552,0.18854798143922924,0.028716690620532836,0.08001850138760414
PatchCore,category_binary,full_all,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.7103967428967429,0.7619825688756265,0.730428863172226,0.633672525439408,0.26738927113160477,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.18425372487872493,0.18285914283986537,0.016568066027669137,0.07863089731729889
PatchCore,category_binary,full_all,vlm_only,2162,962,1200,0.5550416281221091,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.0,0.526143018018018,0.5791234260357612,0.7138607971445569,0.5550416281221091,0.0,0.0,0.0,0.0
PatchCore,generic_binary,crop_or_full,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.11503508316008315,0.07716213801554961,0.18061843872829497,0.2025901942645698
PatchCore,generic_binary,crop_or_full,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9632969507969508,0.9761049328628159,0.9171648163962425,0.910268270120259,0.3550557030484265,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.08333203395703392,0.055625557722533636,0.10280838075267817,0.11840888066604993
PatchCore,generic_binary,crop_or_full,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.9459424809424809,0.9627317161893022,0.8938207136640557,0.8871415356151712,0.44153660904855896,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.06597756410256406,0.04225234104901998,0.07946427802049139,0.09528214616096209
PatchCore,generic_binary,crop_or_full,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.9405595980595981,0.9626709543013182,0.8885999133073256,0.8811285846438482,0.37993560186816444,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.06059468121968126,0.042191579161036,0.07424347766376127,0.08926919518963916
PatchCore,generic_binary,crop_or_full,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.03314492376992373,0.005445753170016943,0.046220487433358826,0.04717853839037922
PatchCore,generic_binary,crop_or_full,vlm_only,2162,962,1200,0.5550416281221091,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.4427592105759696,0.8799649168399168,0.9204793751402822,0.8143564356435643,0.7918593894542091,0.0,0.0,0.0,0.0
PatchCore,generic_binary,crop_topk_ensemble,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.09905362092862091,0.06587371185142743,0.16314550603715872,0.18408880666049954
