q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
candidate_score_mean_max,direct,candidate_score_mean_max__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.3018518518518518,0.7425925925925927,0.6537037037037037,0.6888888888888889,0.6537037037037037,-0.08888888888888902,0.0,-0.08888888888888902
candidate_score_mean_max,direct,candidate_score_mean_max__direct,vial,71,0.8731656184486374,0.5230607966457024,0.39937106918238996,0.9182389937106918,0.9475890985324947,0.9318658280922432,0.9486373165618449,0.02935010482180289,0.0010482180293501786,0.03039832285115307
candidate_score_mean_max,direct,candidate_score_mean_max__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.42,0.777037037037037,0.7918518518518518,0.7896296296296296,0.7918518518518518,0.014814814814814836,0.0,0.014814814814814836
candidate_score_mean_max,inverted,candidate_score_mean_max__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.5933333333333333,0.8766666666666668,0.8333333333333334,0.8700000000000001,0.8333333333333334,-0.043333333333333446,0.0,-0.043333333333333446
candidate_score_mean_max,inverted,candidate_score_mean_max__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6981481481481481,0.7425925925925927,0.8148148148148148,0.7851851851851852,0.8148148148148148,0.07222222222222208,0.0,0.07222222222222208
candidate_score_mean_max,inverted,candidate_score_mean_max__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.60062893081761,0.9182389937106918,0.9014675052410901,0.9025157232704403,0.9014675052410901,-0.016771488469601747,0.0,-0.016771488469601747
candidate_score_mean_max,inverted,candidate_score_mean_max__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.58,0.777037037037037,0.777037037037037,0.7629629629629631,0.7777777777777778,0.0,0.0007407407407408195,0.0007407407407408195
candidate_score_mean_mean,direct,candidate_score_mean_mean__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.3899999999999999,0.8766666666666668,0.88,0.8766666666666668,0.8833333333333334,0.0033333333333331883,0.0033333333333334103,0.006666666666666599
candidate_score_mean_mean,direct,candidate_score_mean_mean__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.3055555555555556,0.7425925925925927,0.6555555555555556,0.6981481481481481,0.6537037037037037,-0.08703703703703713,-0.0018518518518518823,-0.08888888888888902
candidate_score_mean_mean,direct,candidate_score_mean_mean__direct,vial,71,0.8731656184486374,0.5230607966457024,0.4224318658280922,0.9182389937106918,0.9360587002096437,0.9245283018867925,0.9360587002096437,0.017819706498951815,0.0,0.017819706498951815
candidate_score_mean_mean,direct,candidate_score_mean_mean__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.4444444444444444,0.777037037037037,0.7881481481481482,0.7866666666666666,0.7874074074074073,0.011111111111111183,-0.0007407407407408195,0.010370370370370363
candidate_score_mean_mean,inverted,candidate_score_mean_mean__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.61,0.8766666666666668,0.8533333333333335,0.8700000000000001,0.8500000000000001,-0.023333333333333317,-0.0033333333333334103,-0.026666666666666727
candidate_score_mean_mean,inverted,candidate_score_mean_mean__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6944444444444445,0.7425925925925927,0.8111111111111111,0.7814814814814814,0.8111111111111111,0.06851851851851842,0.0,0.06851851851851842
candidate_score_mean_mean,inverted,candidate_score_mean_mean__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.5775681341719078,0.9182389937106918,0.909853249475891,0.9046121593291404,0.909853249475891,-0.008385744234800874,0.0,-0.008385744234800874
candidate_score_mean_mean,inverted,candidate_score_mean_mean__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.5555555555555556,0.777037037037037,0.7822222222222222,0.7674074074074074,0.7822222222222222,0.005185185185185182,0.0,0.005185185185185182
candidate_score_mean_min,direct,candidate_score_mean_min__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.3866666666666666,0.8766666666666668,0.8766666666666668,0.8733333333333335,0.8766666666666668,0.0,0.0,0.0
candidate_score_mean_min,direct,candidate_score_mean_min__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.3055555555555556,0.7425925925925927,0.6518518518518519,0.6981481481481482,0.65,-0.09074074074074079,-0.0018518518518518823,-0.09259259259259267
candidate_score_mean_min,direct,candidate_score_mean_min__direct,vial,71,0.8731656184486374,0.5230607966457024,0.4643605870020965,0.9182389937106918,0.9318658280922432,0.9245283018867925,0.9329140461215932,0.013626834381551323,0.0010482180293500676,0.01467505241090139
candidate_score_mean_min,direct,candidate_score_mean_min__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.46,0.777037037037037,0.788888888888889,0.7822222222222223,0.7881481481481482,0.011851851851852002,-0.0007407407407408195,0.011111111111111183
candidate_score_mean_min,inverted,candidate_score_mean_min__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.6133333333333333,0.8766666666666668,0.8533333333333333,0.8633333333333333,0.8533333333333333,-0.02333333333333354,0.0,-0.02333333333333354
candidate_score_mean_min,inverted,candidate_score_mean_min__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6944444444444444,0.7425925925925927,0.8203703703703703,0.7796296296296297,0.8166666666666667,0.07777777777777761,-0.0037037037037036535,0.07407407407407396
candidate_score_mean_min,inverted,candidate_score_mean_min__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.5356394129979035,0.9182389937106918,0.9129979035639413,0.9077568134171908,0.9129979035639413,-0.00524109014675056,0.0,-0.00524109014675056
candidate_score_mean_min,inverted,candidate_score_mean_min__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.5399999999999999,0.777037037037037,0.7859259259259259,0.7718518518518519,0.7851851851851851,0.008888888888888946,-0.0007407407407408195,0.008148148148148127
candidate_score_max_mean,direct,candidate_score_max_mean__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.49,0.8766666666666668,0.8633333333333334,0.8666666666666668,0.8633333333333334,-0.01333333333333342,0.0,-0.01333333333333342
candidate_score_max_mean,direct,candidate_score_max_mean__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.34259259259259256,0.7425925925925927,0.6481481481481481,0.7074074074074074,0.6481481481481481,-0.09444444444444455,0.0,-0.09444444444444455
candidate_score_max_mean,direct,candidate_score_max_mean__direct,vial,71,0.8731656184486374,0.5230607966457024,0.549266247379455,0.9182389937106918,0.9129979035639413,0.9088050314465409,0.9129979035639413,-0.00524109014675056,0.0,-0.00524109014675056
candidate_score_max_mean,direct,candidate_score_max_mean__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.5555555555555556,0.777037037037037,0.7792592592592592,0.7837037037037037,0.7792592592592592,0.0022222222222222365,0.0,0.0022222222222222365
candidate_score_max_mean,inverted,candidate_score_max_mean__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.51,0.8766666666666668,0.8700000000000001,0.8733333333333334,0.8700000000000001,-0.00666666666666671,0.0,-0.00666666666666671
candidate_score_max_mean,inverted,candidate_score_max_mean__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6574074074074074,0.7425925925925927,0.8018518518518518,0.7685185185185185,0.8,0.05925925925925912,-0.0018518518518517713,0.05740740740740735
