category,q_source,q_direction,eta,gamma,auroc_V3_naive,auroc_quality_qcr,auroc_adaptive_qcr,auroc_Q_alone,delta_quality_minus_V3,delta_adaptive_minus_V3,delta_adaptive_minus_quality
vial,num_candidates_x,direct,0.3,0.0,0.9182389937106918,0.8941299790356393,0.8941299790356393,0.4360587002096436,-0.024109014675052554,-0.024109014675052554,0.0
walnuts,num_candidates_x,direct,0.3,0.0,0.777037037037037,0.7992592592592592,0.7992592592592592,0.4192592592592593,0.022222222222222254,0.022222222222222254,0.0
fruit_jelly,num_candidates_x,direct,0.3,0.01,0.8766666666666668,0.8699999999999999,0.8699999999999999,0.5233333333333333,-0.006666666666666932,-0.006666666666666932,0.0
sheet_metal,num_candidates_x,direct,0.3,0.01,0.7425925925925927,0.7425925925925927,0.7425925925925927,0.4833333333333333,0.0,0.0,0.0
vial,num_candidates_x,direct,0.3,0.01,0.9182389937106918,0.8941299790356393,0.8941299790356393,0.4360587002096436,-0.024109014675052554,-0.024109014675052554,0.0
walnuts,num_candidates_x,direct,0.3,0.01,0.777037037037037,0.7992592592592592,0.7992592592592592,0.4192592592592593,0.022222222222222254,0.022222222222222254,0.0
fruit_jelly,num_candidates_x,direct,0.3,0.03,0.8766666666666668,0.8699999999999999,0.8699999999999999,0.5233333333333333,-0.006666666666666932,-0.006666666666666932,0.0
sheet_metal,num_candidates_x,direct,0.3,0.03,0.7425925925925927,0.7425925925925927,0.7425925925925927,0.4833333333333333,0.0,0.0,0.0
vial,num_candidates_x,direct,0.3,0.03,0.9182389937106918,0.8941299790356393,0.8941299790356393,0.4360587002096436,-0.024109014675052554,-0.024109014675052554,0.0
walnuts,num_candidates_x,direct,0.3,0.03,0.777037037037037,0.7992592592592592,0.7992592592592592,0.4192592592592593,0.022222222222222254,0.022222222222222254,0.0
fruit_jelly,num_candidates_x,direct,0.3,0.05,0.8766666666666668,0.8699999999999999,0.8699999999999999,0.5233333333333333,-0.006666666666666932,-0.006666666666666932,0.0
sheet_metal,num_candidates_x,direct,0.3,0.05,0.7425925925925927,0.7425925925925927,0.7425925925925927,0.4833333333333333,0.0,0.0,0.0
vial,num_candidates_x,direct,0.3,0.05,0.9182389937106918,0.8941299790356393,0.8941299790356393,0.4360587002096436,-0.024109014675052554,-0.024109014675052554,0.0
walnuts,num_candidates_x,direct,0.3,0.05,0.777037037037037,0.7992592592592592,0.7999999999999999,0.4192592592592593,0.022222222222222254,0.022962962962962963,0.0007407407407407085
fruit_jelly,num_candidates_x,direct,0.35,0.0,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.35,0.0,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.35,0.0,0.9182389937106918,0.8784067085953878,0.8784067085953878,0.4360587002096436,-0.03983228511530401,-0.03983228511530401,0.0
walnuts,num_candidates_x,direct,0.35,0.0,0.777037037037037,0.8081481481481482,0.8081481481481482,0.4192592592592593,0.0311111111111112,0.0311111111111112,0.0
fruit_jelly,num_candidates_x,direct,0.35,0.01,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.35,0.01,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.35,0.01,0.9182389937106918,0.8784067085953878,0.8784067085953878,0.4360587002096436,-0.03983228511530401,-0.03983228511530401,0.0
walnuts,num_candidates_x,direct,0.35,0.01,0.777037037037037,0.8081481481481482,0.8081481481481482,0.4192592592592593,0.0311111111111112,0.0311111111111112,0.0
fruit_jelly,num_candidates_x,direct,0.35,0.03,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.35,0.03,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.35,0.03,0.9182389937106918,0.8784067085953878,0.8784067085953878,0.4360587002096436,-0.03983228511530401,-0.03983228511530401,0.0
walnuts,num_candidates_x,direct,0.35,0.03,0.777037037037037,0.8081481481481482,0.8074074074074074,0.4192592592592593,0.0311111111111112,0.03037037037037038,-0.0007407407407408195
fruit_jelly,num_candidates_x,direct,0.35,0.05,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.35,0.05,0.7425925925925927,0.7444444444444445,0.7462962962962962,0.4833333333333333,0.0018518518518517713,0.0037037037037035425,0.0018518518518517713
vial,num_candidates_x,direct,0.35,0.05,0.9182389937106918,0.8784067085953878,0.8784067085953878,0.4360587002096436,-0.03983228511530401,-0.03983228511530401,0.0
walnuts,num_candidates_x,direct,0.35,0.05,0.777037037037037,0.8081481481481482,0.8074074074074074,0.4192592592592593,0.0311111111111112,0.03037037037037038,-0.0007407407407408195
fruit_jelly,num_candidates_x,inverted,0.05,0.0,0.8766666666666668,0.8700000000000001,0.8700000000000001,0.4766666666666667,-0.00666666666666671,-0.00666666666666671,0.0
sheet_metal,num_candidates_x,inverted,0.05,0.0,0.7425925925925927,0.7407407407407408,0.7407407407407408,0.5166666666666666,-0.0018518518518518823,-0.0018518518518518823,0.0
vial,num_candidates_x,inverted,0.05,0.0,0.9182389937106918,0.9161425576519916,0.9161425576519916,0.5639412997903565,-0.002096436058700246,-0.002096436058700246,0.0
walnuts,num_candidates_x,inverted,0.05,0.0,0.777037037037037,0.7725925925925926,0.7725925925925926,0.5807407407407408,-0.004444444444444362,-0.004444444444444362,0.0
fruit_jelly,num_candidates_x,inverted,0.05,0.01,0.8766666666666668,0.8700000000000001,0.8700000000000001,0.4766666666666667,-0.00666666666666671,-0.00666666666666671,0.0
sheet_metal,num_candidates_x,inverted,0.05,0.01,0.7425925925925927,0.7407407407407408,0.7388888888888889,0.5166666666666666,-0.0018518518518518823,-0.0037037037037037646,-0.0018518518518518823
vial,num_candidates_x,inverted,0.05,0.01,0.9182389937106918,0.9161425576519916,0.9161425576519916,0.5639412997903565,-0.002096436058700246,-0.002096436058700246,0.0
walnuts,num_candidates_x,inverted,0.05,0.01,0.777037037037037,0.7725925925925926,0.7725925925925926,0.5807407407407408,-0.004444444444444362,-0.004444444444444362,0.0
fruit_jelly,num_candidates_x,inverted,0.05,0.03,0.8766666666666668,0.8700000000000001,0.8700000000000001,0.4766666666666667,-0.00666666666666671,-0.00666666666666671,0.0
sheet_metal,num_candidates_x,inverted,0.05,0.03,0.7425925925925927,0.7407407407407408,0.7370370370370372,0.5166666666666666,-0.0018518518518518823,-0.005555555555555536,-0.0037037037037036535
vial,num_candidates_x,inverted,0.05,0.03,0.9182389937106918,0.9161425576519916,0.9161425576519916,0.5639412997903565,-0.002096436058700246,-0.002096436058700246,0.0
walnuts,num_candidates_x,inverted,0.05,0.03,0.777037037037037,0.7725925925925926,0.7725925925925926,0.5807407407407408,-0.004444444444444362,-0.004444444444444362,0.0
fruit_jelly,num_candidates_x,inverted,0.05,0.05,0.8766666666666668,0.8700000000000001,0.8700000000000001,0.4766666666666667,-0.00666666666666671,-0.00666666666666671,0.0
