backbone,strategy,eval_mode,debiased_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,pcb1,200,100,100,True,0.5,0.7173,0.7817421396807377,0.6796116504854369,0.67,0.43799601940276545,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.14400000000000002,0.1422058943591994,0.012944983818770295
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,pcb1,200,100,100,True,0.5,0.6359,0.711785173317132,0.6666666666666666,0.5,0.11169881749241309,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.06259999999999999,0.07224892799559368,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,pcb1,200,100,100,True,0.5,0.629,0.70432751629319,0.6666666666666666,0.5,0.031156520516300874,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.05569999999999997,0.06479127097165172,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,pcb1,200,100,100,True,0.5,0.62,0.7898642964486937,0.7654320987654321,0.81,0.5000981140807861,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.046699999999999964,0.15032805112715542,0.09876543209876543
FastFlow,inspection_binary,crop_or_full,vlm_only,pcb1,200,100,100,True,0.5,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.0,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,pcb2,200,100,100,True,0.5,0.9997,0.9997087378640777,0.9949748743718593,0.995,0.26201533799189114,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.015100000000000002,0.01093286239508573,0.035791200902471565
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,pcb2,200,100,100,True,0.5,0.9987,0.9987784900284901,0.98989898989899,0.99,0.30258182213546386,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.014100000000000001,0.010002614559498135,0.030715316429602235
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,pcb2,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1728762240506666,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.010399999999999965,0.011224124531008073,0.035791200902471565
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,pcb2,200,100,100,True,0.5,0.9944,0.9955628021681041,0.9849246231155779,0.985,0.30522431752683643,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.00979999999999992,0.0067869266991121835,0.025740949646190225
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,pcb2,200,100,100,True,0.5,0.9934,0.9948044312016987,0.9797979797979798,0.98,0.3490588659398833,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.008799999999999919,0.006028555732706775,0.02061430632859207
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,pcb2,200,100,100,True,0.5,0.9877,0.9915152383378861,0.9693877551020408,0.97,0.34113487580035523,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.0030999999999999917,0.0027393628688942018,0.010204081632653073
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,pcb2,200,100,100,True,0.5,0.9871,0.9904731291578386,0.9607843137254902,0.96,0.2490594490995407,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.0024999999999999467,0.001697253688846656,0.0016006402561025146
FastFlow,inspection_binary,crop_or_full,vlm_only,pcb2,200,100,100,True,0.5,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.2964799504449885,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,pcb2,200,100,100,True,0.5,0.88,0.9382838963060096,0.9361702127659575,0.94,0.5065959760934712,0.9846,0.9887758754689919,0.9591836734693877,0.96,-0.10460000000000003,-0.050491979162982314,-0.023013460703430244
FastFlow,inspection_binary,crop_or_full,detector_only,pcb2,200,100,100,True,0.5,0.8776,0.9092279549181768,0.8279569892473119,0.84,0.3864936433046756,0.9846,0.9887758754689919,0.9591836734693877,0.96,-0.10699999999999998,-0.07954792055081517,-0.13122668422207584
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,pcb3,201,101,100,True,0.4975124378109453,0.995,1.0,0.9949748743718593,0.9950248756218906,0.7881242950940193,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.2963861386138614,0.2395056698853698,0.32139974483818057
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,pcb3,201,101,100,True,0.4975124378109453,0.99,0.9949751243781094,0.9949748743718593,0.9950248756218906,0.7881242950940193,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.2913861386138614,0.23448079426347923,0.32139974483818057
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,pcb3,201,101,100,True,0.4975124378109453,0.9748514851485148,0.9757964590151539,0.9108910891089109,0.9104477611940298,0.3809819742339611,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.27623762376237626,0.2153021289005237,0.23731595957523222
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,pcb3,201,101,100,True,0.4975124378109453,0.9445544554455445,0.952179914980289,0.875,0.8805970149253731,0.390131076181514,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.24594059405940594,0.1916855848656588,0.2014248704663213
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,pcb3,201,101,100,True,0.4975124378109453,0.8927722772277228,0.9097932848966552,0.8054298642533937,0.7860696517412935,0.3946663577188065,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.19415841584158422,0.14929895478202504,0.13185473471971498
FastFlow,inspection_binary,crop_or_full,detector_only,pcb3,201,101,100,True,0.4975124378109453,0.8868316831683168,0.8924080114235596,0.8262910798122066,0.8159203980099502,0.3820002115840187,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.18821782178217827,0.13191368130892944,0.1527159502785279
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,pcb3,201,101,100,True,0.4975124378109453,0.8411881188118812,0.874732576437834,0.7707317073170732,0.7661691542288557,0.4177709237482552,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.1425742574257426,0.11423824632320378,0.09715657778339448
