backbone,strategy,eval_mode,category,num_images,num_normal,num_anomaly,candidate_rate_all,candidate_rate_normal,candidate_rate_anomaly,q_mean_normal,q_mean_anomaly,d_mean_normal,d_mean_anomaly,m_mean_normal,m_mean_anomaly,k_mean_normal,k_mean_anomaly,corr_q_y,corr_d_y,corr_m_y,corr_k_y,corr_q_d,corr_q_m,corr_d_m,candidate_rate_gap_anomaly_minus_normal,q_gap_anomaly_minus_normal,d_gap_anomaly_minus_normal,m_gap_anomaly_minus_normal
FastFlow,inspection_binary,crop_or_full,pcb4,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.6504344018699073,0.27342980253482935,0.705396646659507,0.4670848712491531,0.5910023558915223,0.2886881581493401,0.5174295583671974,0.9195469385724475,0.7593921791882546,0.40505995236591086,0.6496047979278126,0.7589369615472724,0.44015211904258367,0.46256981386047374,1.0,0.6504344018699073,0.4319668441246776,0.12391748464236918
FastFlow,inspection_binary,crop_or_full,pipe_fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5018185303531094,0.24121149012885174,0.7999975171391169,0.3092132152248038,0.4519060830558923,0.23066956802405045,0.38939070249042584,0.8247136907774267,0.7747430425840988,0.38898761541924864,0.5228960304670168,0.6409720301429838,0.35817864601856586,0.3915825851275155,1.0,0.5018185303531094,0.5587860270102651,0.14269286783108853
FastFlow,inspection_binary,crop_topk_ensemble,candle,200,100,100,0.5,0.0,1.0,0.0,0.5726022941602509,0.3054228744887833,0.7699808272541395,0.1969883495742539,0.49483363560910965,0.20894805812182896,0.43212169474189216,0.9185586535436917,0.8033352063032855,0.8073189729580884,0.7323202355002784,0.8351919368934222,0.712901111624938,0.6680417010425261,1.0,0.5726022941602509,0.4645579527653562,0.2978452860348557
FastFlow,inspection_binary,crop_topk_ensemble,capsules,160,60,100,0.625,0.0,1.0,0.0,0.663137584602592,0.38443502710635324,0.6720003195123592,0.18272291519519518,0.7328539394966508,0.20353634831329512,0.49837602830614636,0.8541547564722065,0.4341873989743907,0.838541869493252,0.719748437981708,0.5575102970519542,0.7185988486143751,0.34591693032861986,1.0,0.663137584602592,0.2875652924060059,0.5501310243014557
FastFlow,inspection_binary,crop_topk_ensemble,cashew,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.6863267469725405,0.2541005108433603,0.7282520359423553,0.09831849477936988,0.7045534562833897,0.1300413201234555,0.500477923611706,0.8247136907774267,0.647618096169484,0.8165147259010258,0.7962651606986805,0.711919927198106,0.600367187884332,0.39232906883636515,1.0,0.6863267469725405,0.474151525098995,0.6062349615040199
FastFlow,inspection_binary,crop_topk_ensemble,chewinggum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.48061542868073365,0.23045522510373742,0.9189144515253886,0.18009120874047999,0.5996475248134181,0.18322519651409722,0.49828756326033435,0.8247136907774267,0.8170531110312093,0.8129227837375294,0.8011642490540865,0.7934978713326837,0.6209803025386756,0.6643760504975051,1.0,0.48061542868073365,0.6884592264216512,0.4195563160729381
FastFlow,inspection_binary,crop_topk_ensemble,fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5056957256415536,0.25171210236903774,0.7366436524694232,0.14860251558857318,0.6829851170375292,0.1653269317148087,0.5571944933075047,0.8247136907774267,0.7361265504486302,0.8165147259010258,0.8070431550805738,0.7619077247411497,0.7267052918524746,0.6628662705700965,1.0,0.5056957256415536,0.48493155010038547,0.534382601448956
FastFlow,inspection_binary,crop_topk_ensemble,macaroni1,200,100,100,0.5,0.0,1.0,0.0,0.6377671417386225,0.32313786713951187,0.7144006513640164,0.23807067513363106,0.6610610163914035,0.22155611911569387,0.4878968668935819,0.9185586535436917,0.6580269775163147,0.8540849293405565,0.8033352063032855,0.7376623254412807,0.7696792817640477,0.568569238383697,1.0,0.6377671417386225,0.39126278422450456,0.4229903412577724
FastFlow,inspection_binary,crop_topk_ensemble,macaroni2,200,100,100,0.5,0.0,1.0,0.0,0.5090390544257102,0.3523915585290245,0.5733209515313594,0.35763398606853536,0.631944634661786,0.27771418399720604,0.39791495755740597,0.9185586535436917,0.38258064784826373,0.6730833574158188,0.3976838364968399,0.43612180520900323,0.6009839939207886,0.15205031258251714,1.0,0.5090390544257102,0.22092939300233494,0.2743106485932506
FastFlow,inspection_binary,crop_topk_ensemble,pcb1,200,100,100,0.5,0.0,1.0,0.0,0.5450832305341514,0.28236523845878175,0.6286906579765122,0.3325775277341842,0.4567593104005707,0.24994486325235862,0.3873385399396065,0.9185586535436917,0.681860074920433,0.37672575974765976,0.5535703577717336,0.6847011852278526,0.3596872168557797,0.2839913099347189,1.0,0.5450832305341514,0.3463254195177305,0.12418178266638652
