category,permuted,seed,original_sample_auc,permuted_sample_auc,drop
pcb3,appearance,3,0.9561243586753544,0.8812339304453805,0.07489042822997394
pcb3,appearance,4,0.9561243586753544,0.8805750544153736,0.07554930425998074
pcb3,appearance,5,0.9561243586753544,0.8818448285913694,0.07427953008398502
pcb3,appearance,6,0.9561243586753544,0.8837693126165569,0.0723550460587975
pcb3,appearance,7,0.9561243586753544,0.8768252366098687,0.07929912206548573
pcb3,appearance,8,0.9561243586753544,0.8782551840406838,0.07786917463467058
pcb3,appearance,9,0.9561243586753544,0.8814134649020032,0.07471089377335116
pcb3,map,0,0.9561243586753544,0.7950380300644426,0.16108632861091177
pcb3,map,1,0.9561243586753544,0.7915101494479918,0.16461420922736258
pcb3,map,2,0.9561243586753544,0.7992557111900654,0.15686864748528895
pcb3,map,3,0.9561243586753544,0.800025701570196,0.15609865710515836
pcb3,map,4,0.9561243586753544,0.8015991575325727,0.15452520114278168
pcb3,map,5,0.9561243586753544,0.7995573402517883,0.15656701842356613
pcb3,map,6,0.9561243586753544,0.7984621205495183,0.15766223812583613
pcb3,map,7,0.9561243586753544,0.7968445370801459,0.15927982159520848
pcb3,map,8,0.9561243586753544,0.7990511796485542,0.15707317902680018
pcb3,map,9,0.9561243586753544,0.7936352781987709,0.1624890804765835
pcb4,appearance,0,0.9231240036177908,0.8234571723783713,0.09966683123941944
pcb4,appearance,1,0.9231240036177908,0.8211912998252138,0.10193270379257702
pcb4,appearance,2,0.9231240036177908,0.8275649389383676,0.09555906467942321
pcb4,appearance,3,0.9231240036177908,0.8264097770540269,0.09671422656376394
pcb4,appearance,4,0.9231240036177908,0.8213428540271696,0.10178114959062123
pcb4,appearance,5,0.9231240036177908,0.8249358575117325,0.0981881461060583
pcb4,appearance,6,0.9231240036177908,0.8222613369705266,0.10086266664726418
pcb4,appearance,7,0.9231240036177908,0.8223367822654439,0.10078722135234686
pcb4,appearance,8,0.9231240036177908,0.8203446876942755,0.1027793159235153
pcb4,appearance,9,0.9231240036177908,0.8238656431846819,0.09925836043310887
pcb4,map,0,0.9231240036177908,0.7874329358446277,0.1356910677731631
pcb4,map,1,0.9231240036177908,0.7874958633172602,0.1356281403005306
pcb4,map,2,0.9231240036177908,0.7937701979468174,0.12935380567097343
pcb4,map,3,0.9231240036177908,0.7910548205308212,0.13206918308696958
pcb4,map,4,0.9231240036177908,0.7869899275169703,0.1361340761008205
pcb4,map,5,0.9231240036177908,0.7905967112677985,0.13252729234999228
pcb4,map,6,0.9231240036177908,0.7879823041136498,0.135141699504141
pcb4,map,7,0.9231240036177908,0.7873834188509132,0.13574058476687756
pcb4,map,8,0.9231240036177908,0.7833982822971975,0.13972572132059324
pcb4,map,9,0.9231240036177908,0.7881265331328643,0.1349974704849265
pipe_fryum,appearance,0,0.9707492187500008,0.8741802897135407,0.09656892903646008
pipe_fryum,appearance,1,0.9707492187500008,0.8739107421874989,0.09683847656250189
pipe_fryum,appearance,2,0.9707492187500008,0.8746659179687487,0.09608330078125205
pipe_fryum,appearance,3,0.9707492187500008,0.8731727376302072,0.09757648111979356
pipe_fryum,appearance,4,0.9707492187500008,0.8690967936197901,0.10165242513021067
pipe_fryum,appearance,5,0.9707492187500008,0.8718902994791655,0.09885891927083523
pipe_fryum,appearance,6,0.9707492187500008,0.8685680338541651,0.10218118489583561
pipe_fryum,appearance,7,0.9707492187500008,0.873432617187499,0.09731660156250177
pipe_fryum,appearance,8,0.9707492187500008,0.8696373697916655,0.10111184895833525
pipe_fryum,appearance,9,0.9707492187500008,0.8681159342447906,0.10263328450521014
pipe_fryum,map,0,0.9707492187500008,0.7627090169270878,0.20804020182291294
pipe_fryum,map,1,0.9707492187500008,0.7627921549479209,0.2079570638020799
pipe_fryum,map,2,0.9707492187500008,0.7658735351562547,0.20487568359374608
pipe_fryum,map,3,0.9707492187500008,0.7578128092447963,0.21293640950520443
pipe_fryum,map,4,0.9707492187500008,0.758066438802087,0.21268277994791374
