dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,capsules,category_binary,crop_or_full,160,160,60,100,100,60,0.625,0.9961666666666666,0.9979321263294634,0.98989898989899,0.9875,-0.004660516977310181
VisA,cashew,category_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9606000000000001,0.9844946831502617,0.9387755102040817,0.92,0.0005250275135040283
VisA,chewinggum,category_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.6792,0.8549564751669655,0.8,0.6666666666666666,-0.0066797733306884766
VisA,fryum,category_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.005350127816200256
VisA,macaroni1,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.6318,0.7088581502922765,0.6666666666666666,0.5,-0.007595375180244446
VisA,macaroni2,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.5096,0.5108424850078878,0.6711409395973155,0.51,-0.006880253553390503
VisA,pcb1,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.7673,0.8608164795543702,0.7861271676300579,0.815,-0.0008507966995239258
VisA,pcb2,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.8765000000000001,0.9196325683380179,0.8415300546448088,0.855,-0.001162022352218628
VisA,pcb3,category_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.7933663366336633,0.8685091647707791,0.7857142857142857,0.7910447761194029,-0.0022339224815368652
VisA,pcb4,category_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.9578217821782178,0.9685541629199078,0.9333333333333333,0.9353233830845771,-0.00030243396759033203
VisA,pipe_fryum,category_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9982,0.9990715067131629,0.9950248756218906,0.9933333333333333,0.00014278292655944824
VisA,candle,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.11380000000000001,0.3385802855036202,0.6666666666666666,0.5,-0.009200453758239746
VisA,capsules,category_binary,crop_topk_ensemble,160,160,60,100,100,60,0.625,0.9978333333333333,0.9988495575221239,0.9949748743718593,0.99375,-0.0044663697481155396
VisA,cashew,category_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9823999999999999,0.992654926337625,0.96,0.9466666666666667,0.0005370676517486572
VisA,chewinggum,category_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.7023999999999999,0.8644070275156857,0.8,0.6666666666666666,-0.0066797733306884766
VisA,fryum,category_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.005218297243118286
VisA,macaroni1,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.6471,0.7236313817400881,0.6690909090909091,0.545,-0.005325481295585632
VisA,macaroni2,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.5462,0.5379355109298903,0.6713286713286714,0.53,-0.004893183708190918
VisA,pcb1,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.7891,0.8749411494491466,0.8068181818181818,0.83,-0.0008507966995239258
VisA,pcb2,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.891,0.9299147647603988,0.8602150537634409,0.87,-0.001162022352218628
VisA,pcb3,category_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.8400990099009901,0.8988696556224863,0.8222222222222222,0.8407960199004975,-0.001713097095489502
VisA,pcb4,category_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.9583168316831683,0.9692237956053248,0.9333333333333333,0.9353233830845771,-0.00030243396759033203
VisA,pipe_fryum,category_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9984,0.9991790335948834,0.9950248756218906,0.9933333333333333,0.00014278292655944824
VisA,candle,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.8175,0.8339928724459613,0.7536231884057971,0.745,-0.002624005079269409
VisA,capsules,inspection_binary,full_all,160,160,60,100,160,0,1.0,0.5521666666666666,0.6769763233703319,0.7722007722007722,0.63125,-0.020163774490356445
VisA,cashew,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.5944999999999999,0.7697758487439564,0.8016528925619835,0.68,-0.015921473503112793
VisA,chewinggum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.8287999999999999,0.9058927181697194,0.8436018957345972,0.78,-0.008862882852554321
VisA,fryum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.487,0.7123898617480776,0.8,0.6666666666666666,-0.009056389331817627
VisA,macaroni1,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.5219,0.5705529412644721,0.6735395189003437,0.525,-0.009740173816680908
VisA,macaroni2,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.3939,0.45206667035402043,0.6666666666666666,0.5,-0.014641106128692627
VisA,pcb1,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.3715,0.4097810605576349,0.6688963210702341,0.505,-0.004331529140472412
VisA,pcb2,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.564,0.5983078435298201,0.6666666666666666,0.5,-0.00888592004776001
VisA,pcb3,inspection_binary,full_all,201,201,101,100,201,0,1.0,0.5782178217821782,0.5841223526824348,0.6713286713286714,0.5323383084577115,-0.006357312202453613
