category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,96,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
screw,97,0.3853646333333333,0.4014367,0.30769230769230765,0.0,0.0,0.30769230769230765,0.30769230769230765,0.0,0.07692307692307691
screw,98,0.3853646333333333,0.4014367,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285
screw,99,0.3853646333333333,0.4014367,0.25,0.0,0.0,0.25,0.25,0.0,0.25
screw,100,0.3853646333333333,0.4014367,0.30769230769230765,0.0,0.0,0.30769230769230765,0.30769230769230765,0.07692307692307691,0.0
screw,101,0.3853646333333333,0.4014367,0.28571428571428564,0.0,0.0,0.28571428571428564,0.28571428571428564,0.07142857142857141,0.07142857142857141
screw,102,0.3853646333333333,0.4014367,0.26666666666666666,0.0,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333
screw,103,0.3853646333333333,0.4014367,0.23529411764705882,0.0,0.0,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.23529411764705882
screw,104,0.3853646333333333,0.4014367,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
screw,105,0.3853646333333333,0.4014367,0.26666666666666666,0.0,0.0,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.06666666666666667
screw,106,0.3853646333333333,0.4014367,0.25,0.0,0.0,0.25,0.25,0.125,0.125
screw,107,0.3853646333333333,0.4014367,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222
screw,108,0.3853646333333333,0.4014367,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
screw,109,0.3853646333333333,0.4014367,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285
screw,110,0.3853646333333333,0.4014367,0.5,0.0,0.25,0.0,0.0,0.0,0.25
