category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
macaroni2,d2aa4f8570cfabc3225ef991,0.05,32,23,0.71875,0.0016032848507165909,0.04347826086956519,0.47826087474823,1.0
macaroni2,d2aa4f8570cfabc3225ef991,0.1,32,24,0.75,0.0016032848507165909,0.08333333333333337,0.5,1.0
macaroni2,d4191d1b56f640d6a801911e,0.01,32,0,0.0,0.3530659079551697,,,
macaroni2,d4191d1b56f640d6a801911e,0.05,32,0,0.0,0.3530659079551697,,,
macaroni2,d4191d1b56f640d6a801911e,0.1,32,0,0.0,0.3530659079551697,,,
macaroni2,d535fdc73b7a40b73f50cba8,0.01,32,7,0.21875,0.9314775466918945,0.0,0.4285714328289032,1.0
macaroni2,d535fdc73b7a40b73f50cba8,0.05,32,7,0.21875,0.9314775466918945,0.0,0.4285714328289032,1.0
macaroni2,d535fdc73b7a40b73f50cba8,0.1,32,8,0.25,0.9314775466918945,0.0,0.5,1.0
macaroni2,d79c739cfd0c7a8ddad5bb2b,0.01,32,2,0.0625,0.7932760715484619,0.0,0.5,1.0
macaroni2,d79c739cfd0c7a8ddad5bb2b,0.05,32,3,0.09375,0.7932760715484619,0.0,0.6666666865348816,1.0
macaroni2,d79c739cfd0c7a8ddad5bb2b,0.1,32,3,0.09375,0.7932760715484619,0.0,0.6666666865348816,1.0
macaroni2,d8767d99c1d4860e49c078b3,0.01,22,0,0.0,1.5305546522140503,,,
macaroni2,d8767d99c1d4860e49c078b3,0.05,22,0,0.0,1.5305546522140503,,,
macaroni2,d8767d99c1d4860e49c078b3,0.1,22,0,0.0,1.5305546522140503,,,
macaroni2,da459dabcb47161c978b77d5,0.01,32,9,0.28125,1.0044739246368408,0.11111111111111116,0.3333333432674408,1.0
macaroni2,da459dabcb47161c978b77d5,0.05,32,12,0.375,1.0044739246368408,0.08333333333333337,0.3333333432674408,1.0
macaroni2,da459dabcb47161c978b77d5,0.1,32,12,0.375,1.0044739246368408,0.08333333333333337,0.3333333432674408,1.0
macaroni2,dd4edc1e6dd864bcb8fa34b5,0.01,32,19,0.59375,0.003519848920404911,0.0,0.5263158082962036,0.8421052694320679
macaroni2,dd4edc1e6dd864bcb8fa34b5,0.05,32,22,0.6875,0.003519848920404911,0.0,0.5454545617103577,0.8181818127632141
macaroni2,dd4edc1e6dd864bcb8fa34b5,0.1,32,22,0.6875,0.003519848920404911,0.0,0.5454545617103577,0.8181818127632141
macaroni2,de66bcee40cc4031e5eaa38a,0.01,32,32,1.0,5.811452865600586e-05,0.0,0.5625,1.0
macaroni2,de66bcee40cc4031e5eaa38a,0.05,32,32,1.0,5.811452865600586e-05,0.0,0.5625,1.0
macaroni2,de66bcee40cc4031e5eaa38a,0.1,32,32,1.0,5.811452865600586e-05,0.0,0.5625,1.0
macaroni2,e2b654828a5193f8b616f3bb,0.01,32,6,0.1875,0.3268161714076996,0.0,0.3333333432674408,1.0
macaroni2,e2b654828a5193f8b616f3bb,0.05,32,7,0.21875,0.3268161714076996,0.0,0.4285714328289032,1.0
macaroni2,e2b654828a5193f8b616f3bb,0.1,32,7,0.21875,0.3268161714076996,0.0,0.4285714328289032,1.0
