heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
fryum,0.15,0.75,0.505774756208204,0.5,0.9107655565556555,0.9100557605760577,0.0007097959795977493,True,0.13667992047713717,0.1073558648111332,11,11,18.0
fryum,0.15,0.75,0.505774756208204,0.75,0.9114061056105611,0.9100557605760577,0.0013503450345033752,True,0.13667992047713717,0.1317097415506958,11,11,13.0
fryum,0.25,0.25,0.2408458987406098,0.25,0.9105954995499551,0.9100557605760577,0.0005397389738973635,True,0.4100397614314115,0.19135188866799205,11,11,20.0
fryum,0.25,0.25,0.2408458987406098,0.5,0.9120758625862586,0.9100557605760577,0.0020201020102008638,True,0.4100397614314115,0.3389662027833002,11,11,11.0
fryum,0.25,0.25,0.2408458987406098,0.75,0.9145925142514252,0.9100557605760577,0.004536753675367433,True,0.4100397614314115,0.4000994035785288,11,11,3.0
fryum,0.25,0.5,0.36282104487271283,0.25,0.9104914941494151,0.9100557605760577,0.0004357335733573553,True,0.27335984095427435,0.11928429423459244,11,11,22.0
fryum,0.25,0.5,0.36282104487271283,0.5,0.9115893339333936,0.9100557605760577,0.0015335733573358379,True,0.27335984095427435,0.22266401590457258,11,11,12.0
fryum,0.25,0.5,0.36282104487271283,0.75,0.913274707470747,0.9100557605760577,0.0032189468946892674,True,0.27335984095427435,0.2659045725646123,11,11,4.0
fryum,0.25,0.75,0.505774756208204,0.25,0.9103556705670569,0.9100557605760577,0.0002999099909991587,True,0.13667992047713717,0.05616302186878728,11,11,24.0
fryum,0.25,0.75,0.505774756208204,0.5,0.9110409540954095,0.9100557605760577,0.0009851935193517791,True,0.13667992047713717,0.1073558648111332,11,11,17.0
fryum,0.25,0.75,0.505774756208204,0.75,0.9122148364836484,0.9100557605760577,0.0021590759075906796,True,0.13667992047713717,0.1317097415506958,11,11,8.0
fryum,0.35,0.25,0.2408458987406098,0.25,0.9107012001200122,0.9100557605760577,0.0006454395439544625,True,0.4100397614314115,0.19135188866799205,11,11,19.0
fryum,0.35,0.25,0.2408458987406098,0.5,0.9128957245724572,0.9100557605760577,0.0028399639963994083,True,0.4100397614314115,0.3389662027833002,11,11,7.0
fryum,0.35,0.25,0.2408458987406098,0.75,0.9164268976897688,0.9100557605760577,0.006371137113711067,True,0.4100397614314115,0.4000994035785288,11,11,1.0
fryum,0.35,0.5,0.36282104487271283,0.25,0.9105701920192019,0.9100557605760577,0.0005144314431441144,True,0.27335984095427435,0.11928429423459244,11,11,21.0
fryum,0.35,0.5,0.36282104487271283,0.5,0.9121612511251126,0.9100557605760577,0.002105490549054845,True,0.27335984095427435,0.22266401590457258,11,11,9.0
fryum,0.35,0.5,0.36282104487271283,0.75,0.9146066906690667,0.9100557605760577,0.004550930093008998,True,0.27335984095427435,0.2659045725646123,11,11,2.0
fryum,0.35,0.75,0.505774756208204,0.25,0.9104071857185719,0.9100557605760577,0.00035142514251418344,True,0.13667992047713717,0.05616302186878728,11,11,23.0
fryum,0.35,0.75,0.505774756208204,0.5,0.9113920192019201,0.9100557605760577,0.0013362586258623965,True,0.13667992047713717,0.1073558648111332,11,11,14.0
fryum,0.35,0.75,0.505774756208204,0.75,0.9130658115811582,0.9100557605760577,0.0030100510051004337,True,0.13667992047713717,0.1317097415506958,11,11,5.0
macaroni1,0.15,0.25,0.23828217850079597,0.25,0.9182962196219621,0.9180830333033305,0.00021318631863154192,True,0.42048929663608564,0.199796126401631,11,11,25.0
macaroni1,0.15,0.25,0.23828217850079597,0.5,0.9192169666966697,0.9180830333033305,0.001133933393339226,True,0.42048929663608564,0.3486238532110092,11,11,15.0
macaroni1,0.15,0.25,0.23828217850079597,0.75,0.9205824632463245,0.9180830333033305,0.0024994299429940137,True,0.42048929663608564,0.40978593272171254,11,11,5.0
macaroni1,0.15,0.5,0.358180933874212,0.25,0.9182554905490549,0.9180830333033305,0.0001724572457243445,True,0.2803261977573904,0.12691131498470948,11,11,26.0
macaroni1,0.15,0.5,0.358180933874212,0.5,0.9189602010201021,0.9180830333033305,0.0008771677167715985,True,0.2803261977573904,0.2308868501529052,11,11,17.0
macaroni1,0.15,0.5,0.358180933874212,0.75,0.919909300930093,0.9180830333033305,0.0018262676267625233,True,0.2803261977573904,0.273190621814475,11,11,10.0
macaroni1,0.15,0.75,0.5007901098356005,0.25,0.9182103960396041,0.9180830333033305,0.00012736273627356187,True,0.1401630988786952,0.060142711518858305,11,11,27.0
macaroni1,0.15,0.75,0.5007901098356005,0.5,0.9187382838283829,0.9180830333033305,0.0006552505250523311,True,0.1401630988786952,0.11009174311926606,11,11,18.0
macaroni1,0.15,0.75,0.5007901098356005,0.75,0.9192970147014702,0.9180830333033305,0.001213981398139663,True,0.1401630988786952,0.13557594291539246,11,11,14.0
macaroni1,0.25,0.25,0.23828217850079597,0.25,0.9184773177317733,0.9180830333033305,0.00039428442844280376,True,0.42048929663608564,0.199796126401631,11,11,20.0
macaroni1,0.25,0.25,0.23828217850079597,0.5,0.9198304080408041,0.9180830333033305,0.0017473747374735504,True,0.42048929663608564,0.3486238532110092,11,11,11.0
macaroni1,0.25,0.25,0.23828217850079597,0.75,0.9219803930393039,0.9180830333033305,0.0038973597359733825,True,0.42048929663608564,0.40978593272171254,11,11,2.0
macaroni1,0.25,0.5,0.358180933874212,0.25,0.9183733123312332,0.9180830333033305,0.00029027902790268456,True,0.2803261977573904,0.12691131498470948,11,11,22.0
macaroni1,0.25,0.5,0.358180933874212,0.5,0.919425607560756,0.9180830333033305,0.0013425742574254551,True,0.2803261977573904,0.2308868501529052,11,11,12.0
macaroni1,0.25,0.5,0.358180933874212,0.75,0.9208564356435643,0.9180830333033305,0.0027734023402338215,True,0.2803261977573904,0.273190621814475,11,11,4.0
macaroni1,0.25,0.75,0.5007901098356005,0.25,0.9183011251125113,0.9180830333033305,0.00021809180918075377,True,0.1401630988786952,0.060142711518858305,11,11,24.0
macaroni1,0.25,0.75,0.5007901098356005,0.5,0.9190136813681368,0.9180830333033305,0.0009306480648062498,True,0.1401630988786952,0.11009174311926606,11,11,16.0
macaroni1,0.25,0.75,0.5007901098356005,0.75,0.9199330183018302,0.9180830333033305,0.001849984998499643,True,0.1401630988786952,0.13557594291539246,11,11,8.0
macaroni1,0.35,0.25,0.23828217850079597,0.25,0.9185739273927392,0.9180830333033305,0.0004908940894087221,True,0.42048929663608564,0.199796126401631,11,11,19.0
macaroni1,0.35,0.25,0.23828217850079597,0.5,0.920513906390639,0.9180830333033305,0.002430873087308494,True,0.42048929663608564,0.3486238532110092,11,11,7.0
macaroni1,0.35,0.25,0.23828217850079597,0.75,0.9235208370837082,0.9180830333033305,0.005437803780377726,True,0.42048929663608564,0.40978593272171254,11,11,1.0
macaroni1,0.35,0.5,0.358180933874212,0.25,0.9184338283828383,0.9180830333033305,0.0003507950795077486,True,0.2803261977573904,0.12691131498470948,11,11,21.0
macaroni1,0.35,0.5,0.358180933874212,0.5,0.919924797479748,0.9180830333033305,0.0018417641764174597,True,0.2803261977573904,0.2308868501529052,11,11,9.0
macaroni1,0.35,0.5,0.358180933874212,0.75,0.9219427842784278,0.9180830333033305,0.003859750975097276,True,0.2803261977573904,0.273190621814475,11,11,3.0
macaroni1,0.35,0.75,0.5007901098356005,0.25,0.9183435493549357,0.9180830333033305,0.000260516051605153,True,0.1401630988786952,0.060142711518858305,11,11,23.0
macaroni1,0.35,0.75,0.5007901098356005,0.5,0.9193283828382839,0.9180830333033305,0.001245349534953366,True,0.1401630988786952,0.11009174311926606,11,11,13.0
macaroni1,0.35,0.75,0.5007901098356005,0.75,0.9205476297629764,0.9180830333033305,0.002464596459645918,True,0.1401630988786952,0.13557594291539246,11,11,6.0
macaroni2,0.15,0.25,0.2376558375792334,0.25,0.9322144014401441,0.9321012151215124,0.00011318631863166395,True,0.42048929663608564,0.19928644240570845,11,11,25.0
macaroni2,0.15,0.25,0.2376558375792334,0.5,0.9333851485148514,0.9321012151215124,0.0012839333933389874,True,0.42048929663608564,0.3527013251783894,11,11,15.0
macaroni2,0.15,0.25,0.2376558375792334,0.75,0.9352506450645065,0.9321012151215124,0.003149429942994053,True,0.42048929663608564,0.41182466870540263,11,11,6.0
